Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
18204,A tree of life based on ninety-eight expressed genes conserved across diverse eukaryotic species,(BLS) Genetics;(BLS) Microbiology;(BLS) Plant Biology/Botany;(BLS) Zoology;,"National Research Centre on Plant Biotechnology, IARI, Pusa, New Delhi, India Banasthali University, Banasthali, Rajasthan, India; Bioinformatics Programme, Centre for Biological Sciences, Central University of South Bihar, Patna, Bihar, India;",PLoS One,PLoS,India,Pawan Kumar Jayaswal;Vivek Dogra;Asheesh Shanker;Tilak Raj Sharma;Nagendra Kumar Singh,http://retractionwatch.com/2018/05/18/caught-our-notice-hey-peer-reviewers-did-you-even-read-this-paper/;http://retractionwatch.com/2018/06/11/have-you-seen-more-detail-in-plos-one-retraction-notices-youre-welcome/,Research Article;,5/14/2018 0:00,10.1371/journal.pone.0197602,29758079.0,9/18/2017 0:00,10.1371/journal.pone.0184276,28922368.0,Retraction,+Error in Analyses;+Error in Data;+Error in Methods;+Investigation by Journal/Publisher;+Objections by Third Party;+Unreliable Results;,No,
18197,The relationship between authentic leadership and follower job performance: The mediating role of follower positivity in extreme contexts,(B/T) Business - Management;,"Department of Management, W.P. Carey School of Business, Arizona State University, Tempe, AZ 874006, USA; Department of Management, Michael G. Foster School of Business, University of Washington, Seattle, WA 98195-3226, USA; Center for the Army Profession and Ethic, West Point — United States Military Academy, West Point, NY 10996, USA;",The Leadership Quarterly,Elsevier,United States,Suzanne J Peterson;Frederick O Walumbwa;Bruce J Avolio;Sean T Hannah,https://retractionwatch.com/?s=fred+walumbwa,Research Article;,12/5/2014 0:00,10.1016/j.leaqua.2014.11.001,0.0,1/14/2012 0:00,10.1016/j.leaqua.2011.12.004,0.0,Retraction,+Error in Analyses;+Error in Data;+Investigation by Journal/Publisher;+Investigation by Third Party;+Original Data not Provided;+Results Not Reproducible;+Unreliable Results;,No,
18141,Eosinophil Counts in the Small Intestine and Colon of Children Without Apparent Gastrointestinal Disease-a Meta-analysis,(BLS) Biology - Cellular;(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Gastroenterology;(HSC) Medicine - Pediatrics;,"1st Department of Pediatrics, Semmelweis University, Budapest; Institute for Translational Medicine, First Department of Medicine and János Szentágothai Research Center; Department of Gastroenterology, First Department of Medicine; Institute of Bioanalysis, Medical School, University of Pécs, Pécs; MTA-SZTE Translational Gastroenterology Research Group, Szeged, Hungary;",Journal of Pediatric Gastroenterology and Nutrition,Wolters Kluwer,Hungary,Zoltan Kiss;Balint Tel;Nelli Farkas;Andras Garami;Aron Vincze;Judit Bajor;Patricia Sarlos;Katalin Marta;Adrienn Eros;Alexandra Miko;Zsolt Szakacs;Daniel Pecsi;Peter Matrai;Peter Hegyi;Gabor Veres,,Meta-Analysis;,4/30/2018 0:00,10.1097/MPG.0000000000002013,29727435.0,4/30/2018 0:00,10.1097/MPG.0000000000001904,29394213.0,Expression of concern,+Error in Analyses;+Error in Text;,No,
18061,Hierarchical hyperbolicity of all cubical groups,(PHY) Mathematics;,"DPMMS, University of Cambridge, Cambridge, UK; Mathematics Department, Bard College at Simon’s Rock, Great Barrington, Massachusetts, USA;",Bulletin of the London Mathematical Society,Wiley,United Kingdom;United States,Mark F Hagen;Tim Susse,,Research Article;,4/1/2018 0:00,10.1112/blms.12123,0.0,12/14/2017 0:00,10.1112/blms.12123,0.0,Retraction,+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;,No,affiliation taken from arxiv.org copy
18060,Percutaneous Aspiration Thrombectomy for Arterial Thromboembolism during Infrainguinal Endovascular Recanalization,(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Cardiovascular;(HSC) Medicine - Rehabilitation/Therapy;,"Department of Diagnostic and Interventional Radiology, Shanghai Jiao Tong University Affiliated Sixth People’s Hospital, Shanghai, China; Department of Endocrinology, Shanghai Jiao Tong University Affiliated Sixth People’s Hospital, Shanghai, China; Department of Diagnostic and Interventional Radiology, Shanghai Jiao Tong University Affiliated Sixth People’s Hospital, Shanghai, China;",PLoS One,PLoS,China,Li-Ming Wei;Yue-Qi Zhu;Fang Liu;Pei-Lei Zhang;Xiao-Cong Li;Jun-Gong Zhao;Hai-Tao Lu,,Research Article;,4/26/2018 0:00,10.1371/journal.pone.0196768,29698517.0,10/20/2015 0:00,10.1371/journal.pone.0140494,26484672.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;+Investigation by Journal/Publisher;,No,
18031,Do anthocyanins in purple tomatoes reduce the risk of cardiovascular disease?,(BLS) Plant Biology/Botany;(BLS) Toxicology;(HSC) Medicine - Alternative;(HSC) Medicine - Cardiovascular;(HSC) Medicine - Rehabilitation/Therapy;,"Food and Health Program, Institute of Food Research; Metabolic Biology Department, John Innes Centre – Norwich Research Park, Norwich NR4 7UH, UK; Medical School, University of East Anglia, Norwich Research Park, Norwich NR4 7TJ;",Proceedings of the Nutrition Society,Cambridge University Press,United Kingdom,Sebastian Achterfeldt;Maria Traka;Cathie Martin;David Vauzour;Paul A Kroon,,Conference Abstract/Paper;,4/20/2018 0:00,10.1017/S0029665118000034,0.0,4/15/2015 0:00,10.1017/S0029665115001007,0.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;,No,
18012,Enhancement of the thermoelectric figure of merit in a triple-quantum-dot ring induced by Aharonov-Bohm effect,(PHY) Physics;,"College of Computer and Software, Wuhan Vocational College of Software and Engineering, Wuhan, China;",Philosophical Magazine,Taylor and Francis,China,Jun-Xia Yan,,Research Article;,4/3/2018 0:00,10.1080/14786435.2018.1453996,0.0,7/21/2016 0:00,10.1080/14786435.2016.1200199,0.0,Retraction,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;,No,
18002,Low-grade heat-based thermal cycles unconstrained by the carnot factor doing work by cooling,(PHY) Energy;(PHY) Engineering - Chemical;(PHY) Physics;,"Ind. Eng. Dept., University of A Coruna, Spain; Energy and Prop. Dept., University of A Coruna, Spain;",Energy,Elsevier,Spain,Ramon Ferreiro Garcia;Jose Carbia Carril;Steven Iglesias Garcia,,Research Article;,4/3/2018 0:00,10.1016/j.energy.2018.02.117,0.0,1/23/2017 0:00,10.1016/j.energy.2017.01.075,0.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;,No,
17989,A mathematical model explains saturating axon guidance responses to molecular gradients,(BLS) Neuroscience;(PHY) Mathematics;,"Queensland Brain Institute, The University of Queensland, St. Lucia, Australia; School of Mathematics and Physics, The University of Queensland, St. Lucia, Australia; Gatsby Computational Neuroscience Unit, University College London, London, United Kingdom; Australian Institute for Bioengineering and Nanotechnology, The University of Queensland, St. Lucia, Australia;",eLife,eLife Sciences Publications,Australia;United Kingdom,Huyen Nguyen;Peter Dayan;Zac Pujic;Justin Cooper-White;Geoffrey J Goodhill,,Research Article;,4/12/2018 0:00,10.7554/eLife.37048,0.0,2/2/2016 0:00,10.7554/eLife.12248,26830461.0,Retraction,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;+Unreliable Results;,No,
17985,Conditional expectations in L-p (mu; L-q(nu; X)),(PHY) Mathematics;,"School of Mathematics, Sichuan University, Chengdu, China; Delft University of Technology, Delft, The Netherlands;",Positivity,Springer,China;Netherlands,Qi Lu;Jan van Neerven,,Research Article;,4/1/2018 0:00,10.1007/s11117-017-0477-x,0.0,2/15/2017 0:00,10.1007/s11117-017-0477-x,0.0,Retraction,+Error in Analyses;+Error in Data;,No,
